neuron_id,method,x,y,cluster,d1,d2,d3,d4,d5,v,u,energy,spike_counter,io_role
8741258505,tsne,0.5485762357711792,1.2543690204620361,,9.0,5.0,5.0,9.0,2.0,-65.0,-13.0,1.0,0,output
8741454083,tsne,-6.537572860717773,-0.6302441358566284,,3.0,1.0,8.0,9.0,2.0,-65.0,-13.0,1.0,0,internal
8741521417,tsne,0.95055091381073,5.750955581665039,,9.0,8.0,9.0,9.0,2.0,-65.0,-13.0,1.0,0,output
12885098504,tsne,-13.32374095916748,-10.300249099731445,,8.0,0.0,3.0,0.0,3.0,-65.0,-13.0,1.0,0,internal
12885296387,tsne,0.640053391456604,17.299440383911133,,3.0,5.0,6.0,0.0,3.0,-65.0,-13.0,1.0,0,internal
12885426947,tsne,-24.618370056152344,6.4801506996154785,,3.0,3.0,8.0,0.0,3.0,-65.0,-13.0,1.0,0,internal
12901744642,tsne,-18.15279769897461,-8.480937004089355,,2.0,0.0,1.0,1.0,3.0,-65.0,-13.0,1.0,0,internal
12901876736,tsne,-15.656064987182617,-3.598129987716675,,0.0,4.0,3.0,1.0,3.0,-65.0,-13.0,1.0,0,input
12902008071,tsne,3.5304369926452637,11.590822219848633,,7.0,5.0,5.0,1.0,3.0,-65.0,-13.0,1.0,0,internal
12902139653,tsne,3.1873979568481445,14.765042304992676,,5.0,7.0,7.0,1.0,3.0,-65.0,-13.0,1.0,0,internal
12902270469,tsne,1.666304111480713,15.524405479431152,,5.0,6.0,9.0,1.0,3.0,-65.0,-13.0,1.0,0,internal
12918458374,tsne,8.975654602050781,-2.4417829513549805,,6.0,8.0,0.0,2.0,3.0,-65.0,-13.0,1.0,0,internal
12918588675,tsne,4.301499843597412,-2.6141138076782227,,3.0,5.0,2.0,2.0,3.0,-65.0,-13.0,1.0,0,internal
12918719241,tsne,-5.2440690994262695,-9.193039894104004,,9.0,3.0,4.0,2.0,3.0,-65.0,-13.0,1.0,0,output
12918851334,tsne,4.51534366607666,13.327007293701172,,6.0,7.0,6.0,2.0,3.0,-65.0,-13.0,1.0,0,internal
12919047173,tsne,0.6156126856803894,15.233131408691406,,5.0,4.0,9.0,2.0,3.0,-65.0,-13.0,1.0,0,internal
12935301380,tsne,9.823634147644043,-4.244540691375732,,4.0,9.0,1.0,3.0,3.0,-65.0,-13.0,1.0,0,internal
12935497475,tsne,6.834238052368164,13.982946395874023,,3.0,7.0,4.0,3.0,3.0,-65.0,-13.0,1.0,0,internal
